ENA|CP003859|CP003859.1	Streptococcus	constellatus	C1050
Fused/Bacteria/Listeria/monocytogenes/1639.1083.fna;GenomePos=271537;interval=101-175,267-341,432-506;Tm=74.67;Ncor=5	Listeria	monocytogenes	1639.1083
Fused/Bacteria/Listeria/monocytogenes/1639.1083.fna;GenomePos=272657;interval=101-175,218-292,333-407;Tm=74.42;Ncor=5	Listeria	monocytogenes	1639.1083
Fused/Bacteria/Listeria/monocytogenes/1639.1083.fna;GenomePos=273695;interval=101-175;Tm=75.06;Ncor=5	Listeria	monocytogenes	1639.1083
Fused/Bacteria/Listeria/monocytogenes/1639.1083.fna;GenomePos=274684;interval=101-175,243-317,384-458;Tm=74.23;Ncor=5	Listeria	monocytogenes	1639.1083
Fused/Bacteria/Listeria/monocytogenes/1639.1083.fna;GenomePos=575066;interval=101-175;Tm=78.68;Ncor=11	Listeria	monocytogenes	1639.1083
Fused/Bacteria/Listeria/monocytogenes/1639.1083.fna;GenomePos=575357;interval=101-175,243-317,384-458;Tm=73.58;Ncor=11	Listeria	monocytogenes	1639.1083
Fused/Bacteria/Listeria/monocytogenes/1639.1083.fna;GenomePos=635047;interval=101-175;Tm=74.42;Ncor=13	Listeria	monocytogenes	1639.1083
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1766223;interval=101-175,318-392;Tm=74.94;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1767148;interval=101-175;Tm=75.61;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1768010;interval=101-175,319-393,535-609;Tm=77.50;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1769377;interval=101-175;Tm=73.81;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1770377;interval=101-175;Tm=78.84;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1770849;interval=101-175;Tm=70.42;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1771473;interval=101-175,362-436;Tm=79.21;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1772480;interval=101-175;Tm=79.31;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1779206;interval=101-175,306-380,510-584;Tm=72.36;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1780346;interval=101-175;Tm=75.52;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1781827;interval=101-175;Tm=75.21;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1782181;interval=101-175;Tm=76.31;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1794758;interval=101-175;Tm=72.91;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Enterococcus/faecium/1352.1761.fna;GenomePos=1795373;interval=101-175;Tm=75.32;Ncor=13	Enterococcus	faecium	1352.1761
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=14112;interval=101-175;Tm=75.00;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=14753;interval=101-175;Tm=72.22;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=16053;interval=101-175;Tm=86.44;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=16696;interval=101-175;Tm=81.35;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=17339;interval=101-175;Tm=82.43;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=17982;interval=101-175;Tm=87.80;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=18624;interval=101-175;Tm=86.64;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=19267;interval=101-175;Tm=83.16;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=19910;interval=101-175;Tm=83.02;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=20553;interval=101-175;Tm=85.25;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=21195;interval=101-175;Tm=85.21;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=21838;interval=101-175;Tm=83.03;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=22481;interval=101-175;Tm=82.42;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=23124;interval=101-175;Tm=85.39;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=23766;interval=101-175;Tm=85.93;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=24409;interval=101-175;Tm=84.27;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=25052;interval=101-175;Tm=83.02;Ncor=0	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=1450518;interval=101-175;Tm=76.49;Ncor=4	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=1451304;interval=101-175;Tm=77.75;Ncor=4	Escherichia	coli	562.10826
Fused/Bacteria/Escherichia/coli/562.10826.fna;GenomePos=1452091;interval=101-175;Tm=78.69;Ncor=4	Escherichia	coli	562.10826
Fused/Bacteria/Staphylococcus/aureus/1280.3574.fna;GenomePos=684322;interval=101-175,106-180,246-320;Tm=71.19;Ncor=5	Staphylococcus	aureus	1280.3574
Fused/Bacteria/Staphylococcus/aureus/1280.3574.fna;GenomePos=684971;interval=101-175,107-181;Tm=70.96;Ncor=5	Staphylococcus	aureus	1280.3574
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=60439;interval=101-175;Tm=77.53;Ncor=1	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=62966;interval=101-175;Tm=82.12;Ncor=1	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=293866;interval=101-175;Tm=74.89;Ncor=3	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=500697;interval=101-175;Tm=84.70;Ncor=5	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=729287;interval=101-175;Tm=80.54;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=730955;interval=101-175;Tm=84.21;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=732623;interval=101-175;Tm=79.21;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=736226;interval=101-175;Tm=81.10;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=737205;interval=101-175;Tm=81.24;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=738184;interval=101-175;Tm=82.37;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=739163;interval=101-175;Tm=79.79;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=740142;interval=101-175;Tm=81.91;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=741121;interval=101-175;Tm=81.67;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=742100;interval=101-175;Tm=72.85;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=743080;interval=101-175;Tm=80.92;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=745038;interval=101-175;Tm=80.32;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=746996;interval=101-175;Tm=81.99;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=748954;interval=101-175;Tm=79.92;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=749933;interval=101-175;Tm=82.70;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Pseudomonas/aeruginosa/287.2559.fna;GenomePos=752039;interval=101-175;Tm=80.18;Ncor=8	Pseudomonas	aeruginosa	287.2559
Fused/Bacteria/Staphylococcus/aureus/1280.4813.fna;GenomePos=30;interval=101-175,105-179,108-182;Tm=74.79;Ncor=0	Staphylococcus	aureus	1280.4813
Fused/Bacteria/Bordetella/pertussis/520.426.fna;GenomePos=17682;interval=101-175;Tm=87.30;Ncor=0	Bordetella	pertussis	520.426
Fused/Bacteria/Bordetella/pertussis/520.426.fna;GenomePos=18422;interval=101-175,108-182;Tm=88.22;Ncor=0	Bordetella	pertussis	520.426
Fused/Bacteria/Bordetella/pertussis/520.426.fna;GenomePos=18938;interval=101-175,107-181,321-395,325-399;Tm=85.71;Ncor=0	Bordetella	pertussis	520.426
Fused/Bacteria/Bordetella/pertussis/520.426.fna;GenomePos=20178;interval=101-175;Tm=85.45;Ncor=0	Bordetella	pertussis	520.426
Fused/Bacteria/Bordetella/pertussis/520.426.fna;GenomePos=22129;interval=101-175,107-181,110-184,119-193;Tm=80.81;Ncor=0	Bordetella	pertussis	520.426
Fused/Bacteria/Bordetella/pertussis/520.426.fna;GenomePos=634457;interval=101-175;Tm=85.75;Ncor=17	Bordetella	pertussis	520.426
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=6448;interval=101-175;Tm=85.44;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=19868;interval=101-175;Tm=85.08;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=60830;interval=101-175;Tm=86.87;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=76316;interval=101-175;Tm=86.57;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=128500;interval=101-175;Tm=84.66;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=149284;interval=101-175;Tm=84.09;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=167376;interval=101-175;Tm=85.35;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=168836;interval=101-175;Tm=80.74;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=180055;interval=101-175;Tm=85.56;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=182040;interval=101-175;Tm=86.69;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=186997;interval=101-175;Tm=87.79;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=190423;interval=101-175;Tm=84.62;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=209270;interval=101-175;Tm=83.34;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=231718;interval=101-175;Tm=86.06;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=242005;interval=101-175;Tm=82.70;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=243877;interval=101-175,249-323,395-469;Tm=82.49;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=257687;interval=101-175;Tm=83.24;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/Core.fna;GenomePos=275122;interval=101-175;Tm=83.22;Ncor=0	Burkholderia	NA	NA
Fused/Bacteria/Burkholderia/dolosa/Core.fna;GenomePos=470735;interval=101-175;Tm=86.61;Ncor=1	Burkholderia	dolosa	NA
Fused/Bacteria/Burkholderia/dolosa/Core.fna;GenomePos=2116633;interval=101-175,106-180,111-185;Tm=85.82;Ncor=63	Burkholderia	dolosa	NA
Fused/Bacteria/Streptococcus/pyogenes/1314.261.fna;GenomePos=114502;interval=101-175,130-204,158-232,186-260,214-288,242-316,270-344,327-401,355-429,383-457,411-485,439-513,467-541,495-569,626-700,656-730,686-760,716-790,808-882;Tm=77.03;Ncor=3	Streptococcus	pyogenes	1314.261
Fused/Bacteria/Klebsiella/pneumoniae/573.1961.fna;GenomePos=1346266;interval=101-175,115-189,128-202,141-215,153-227,166-240;Tm=80.75;Ncor=17	Klebsiella	pneumoniae	573.1961
Fused/Bacteria/Klebsiella/pneumoniae/573.1961.fna;GenomePos=1354334;interval=101-175,120-194,148-222,157-231,175-249,193-267,211-285,230-304,247-321,264-338;Tm=79.02;Ncor=17	Klebsiella	pneumoniae	573.1961
Fused/Bacteria/Klebsiella/pneumoniae/573.1961.fna;GenomePos=1369752;interval=101-175,188-262,204-278,220-294;Tm=79.44;Ncor=17	Klebsiella	pneumoniae	573.1961
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=54547;interval=101-175;Tm=79.20;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=56350;interval=101-175;Tm=78.59;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=58153;interval=101-175;Tm=74.68;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=230114;interval=101-175;Tm=76.81;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=402650;interval=101-175;Tm=80.65;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=554057;interval=101-175;Tm=80.84;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=860783;interval=101-175;Tm=75.36;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=949157;interval=101-175;Tm=84.04;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=954429;interval=101-175;Tm=78.88;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=1351674;interval=101-175;Tm=76.99;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=1558509;interval=101-175;Tm=77.59;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=1720666;interval=101-175;Tm=77.54;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=2071767;interval=101-175;Tm=81.52;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=2074908;interval=101-175;Tm=81.96;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=2805972;interval=101-175;Tm=81.17;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=2911805;interval=101-175;Tm=75.57;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=2976396;interval=101-175;Tm=79.65;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=3027902;interval=101-175;Tm=79.19;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=3029694;interval=101-175;Tm=83.90;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Vibrio/cholerae/Core.fna;GenomePos=3031486;interval=101-175;Tm=83.69;Ncor=0	Vibrio	cholerae	NA
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=314538;interval=101-175;Tm=82.84;Ncor=0	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=554996;interval=101-175;Tm=83.55;Ncor=0	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1000147;interval=101-175;Tm=75.28;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1001906;interval=101-175;Tm=80.01;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1003665;interval=101-175;Tm=78.76;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1008084;interval=101-175;Tm=82.89;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1011275;interval=101-175;Tm=81.78;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1014409;interval=101-175;Tm=85.85;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1015937;interval=101-175;Tm=80.84;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1017465;interval=101-175;Tm=81.53;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1154989;interval=101-175;Tm=81.01;Ncor=1	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1358266;interval=101-175;Tm=73.25;Ncor=3	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1472470;interval=101-175;Tm=78.01;Ncor=5	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1477560;interval=101-175;Tm=75.94;Ncor=5	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1487648;interval=101-175;Tm=78.23;Ncor=5	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1489244;interval=101-175;Tm=83.85;Ncor=5	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=1490840;interval=101-175;Tm=75.11;Ncor=5	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=2168746;interval=101-175;Tm=82.59;Ncor=13	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=2773898;interval=101-175;Tm=75.92;Ncor=13	Klebsiella	oxytoca	571.62
Fused/Bacteria/Klebsiella/oxytoca/571.62.fna;GenomePos=3828313;interval=101-175;Tm=85.82;Ncor=19	Klebsiella	oxytoca	571.62
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=99234;interval=101-175;Tm=74.10;Ncor=1	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=338462;interval=101-175,262-336,421-495;Tm=75.43;Ncor=6	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=339092;interval=101-175,216-290,330-404,445-519,559-633,674-748,788-862;Tm=73.70;Ncor=6	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=340878;interval=101-175;Tm=73.28;Ncor=6	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=341222;interval=101-175;Tm=74.05;Ncor=6	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=341783;interval=101-175,321-395,535-609;Tm=76.32;Ncor=6	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=342687;interval=101-175;Tm=69.97;Ncor=6	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=722461;interval=101-175;Tm=70.70;Ncor=13	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=722791;interval=101-175;Tm=74.21;Ncor=13	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Listeria/monocytogenes/1196174.3.fna;GenomePos=723144;interval=101-175;Tm=73.31;Ncor=13	Listeria	monocytogenes	1196174.3
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=120613;interval=101-175;Tm=72.42;Ncor=3	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=120905;interval=101-175;Tm=78.59;Ncor=3	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=123344;interval=101-175;Tm=73.03;Ncor=3	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=135509;interval=101-175,258-332,414-488;Tm=73.17;Ncor=3	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=137728;interval=101-175,191-265;Tm=74.22;Ncor=3	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=276838;interval=101-175;Tm=74.71;Ncor=6	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=525986;interval=101-175;Tm=73.18;Ncor=12	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=528790;interval=101-175;Tm=72.94;Ncor=12	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=529891;interval=101-175,356-430,609-683,705-779,801-875;Tm=73.66;Ncor=12	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=587668;interval=101-175,199-273,296-370;Tm=73.94;Ncor=12	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Streptococcus/pyogenes/471876.6.fna;GenomePos=597407;interval=101-175;Tm=72.83;Ncor=12	Streptococcus	pyogenes	471876.6
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=29377;interval=101-175;Tm=74.69;Ncor=0	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=55904;interval=101-175,370-444,638-712;Tm=76.16;Ncor=0	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=57030;interval=101-175;Tm=76.00;Ncor=0	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=124658;interval=101-175,322-396,542-616;Tm=72.22;Ncor=0	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=126586;interval=101-175;Tm=75.14;Ncor=0	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=304203;interval=101-175;Tm=76.45;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=305263;interval=101-175;Tm=74.51;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=314534;interval=101-175,357-431,612-686;Tm=76.08;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=315601;interval=101-175;Tm=77.70;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=315900;interval=101-175;Tm=76.06;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=316199;interval=101-175;Tm=75.00;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=317601;interval=101-175;Tm=78.73;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=317930;interval=101-175;Tm=72.00;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Haemophilus/influenzae/1295140.4.fna;GenomePos=318259;interval=101-175;Tm=76.18;Ncor=1	Haemophilus	influenzae	1295140.4
Fused/Bacteria/Staphylococcus/aureus/1280.10759.fna;GenomePos=39174;interval=101-175,111-185,120-194,349-423,601-675,610-684,619-693,628-702,637-711,646-720,655-729,677-751,705-779;Tm=70.50;Ncor=1	Staphylococcus	aureus	1280.10759
Fused/Bacteria/Staphylococcus/aureus/1280.10759.fna;GenomePos=40566;interval=101-175,136-210,144-218,152-226;Tm=71.44;Ncor=1	Staphylococcus	aureus	1280.10759
Fused/Bacteria/Staphylococcus/aureus/1280.10759.fna;GenomePos=40999;interval=101-175,110-184,118-192;Tm=71.63;Ncor=1	Staphylococcus	aureus	1280.10759
Fused/Bacteria/Shigella/sonnei/624.1272.fna;GenomePos=853650;interval=101-175;Tm=79.16;Ncor=25	Shigella	sonnei	624.1272
Fused/Bacteria/Shigella/sonnei/624.1272.fna;GenomePos=853949;interval=101-175,141-215,180-254,219-293,298-372,377-451,456-530,535-609,614-688;Tm=76.59;Ncor=25	Shigella	sonnei	624.1272
Fused/Bacteria/Shigella/sonnei/624.1272.fna;GenomePos=882387;interval=101-175,148-222,194-268,240-314,285-359,331-405,377-451,516-590,557-631,598-672;Tm=73.37;Ncor=25	Shigella	sonnei	624.1272
